ID_UNIQUE_ESP;X_CODE_PORTE_ESP;X_DIN_UTIL;X_ABR_T_ESP_DIN;X_ABR_CODE_CUS;N_TAUX_ACTIVITE_SAP;N_NB_PERSONNES
2542;ELD 224;2.2.A;2-2;BURE;820;16;
2543;ELD 225;2.2.A;2-2;BURE;300;3;
2544;ELD 227;2.2.A;2-2;BURE;100;2;
2546;ELD 230;2.1.A;2-1;BURE;100;2;
2547;ELD 231;2.1.A;2-1;BURE;200;2;
2548;ELD 232;2.1.A;2-1;BURE;200;4;
2549;ELD 233;2.1.A;2-1;BURE;100;2;
2550;ELD 234;2.1.A;2-1;BURE;100;2;
2551;ELD 235;2.1.A;2-1;BURE;200;2;
2552;ELD 236;2.1.A;2-1;BURE;25;5;
2553;ELD 237;2.1.A;2-1;BURE;100;2;
2554;ELD 238;2.1.A;2-1;BURE;100;3;
2555;ELD 239;2.1.A;2-1;BURE;200;3;
2556;ELD 240;2.1.A;2-1;BURE;100;3;
2557;ELD 241;2.1.A;2-1;BURE;150;5;
2558;ELD 243;2.2.A;2-2;BURE;400;6;
2559;ELD 244;2.1.A;2-1;BURE;150;2;
2576;ELD 323;3.2.0;3-2;LABO;80;1;
2579;ELD 333;3.4.R;3-4;LABO;700;11;
2580;ELD 334;2.1.A;2-1;BURE;175;3;
2581;ELD 335;2.1.A;2-1;BURE;300;3;
2582;ELD 336;2.1.A;2-1;BURE;100;1;
2583;ELD 337;2.1.A;2-1;BURE;200;4;
2584;ELD 338;2.1.A;2-1;BURE;100;1;
2585;ELD 339;2.1.A;2-1;BURE;100;2;
2586;ELD 340;2.1.A;2-1;BURE;100;1;
2587;ELD 341;2.1.A;2-1;BURE;80;2;
2606;ELE 014;2.1.A;2-1;BURE;;1;
2615;ELE 040;3.2.0;3-2;LABO;240;4;
2621;ELE 057;3.2.0;3-2;LABO;100;1;
2623;ELE 068;2.1.A;2-1;BURE;100;2;
2649;ELE 115;2.2.A;2-2;BURE;650;7;
2651;ELE 117;3.4.R;3-4;LABO;320;6;
2654;ELE 130;2.1.A;2-1;BURE;250;4;
2655;ELE 131;2.1.A;2-1;BURE;200;2;
2656;ELE 132;2.1.A;2-1;BURE;150;2;
2658;ELE 134;2.1.A;2-1;BURE;200;2;
2659;ELE 135;2.1.A;2-1;BURE;200;2;
2660;ELE 136;2.1.A;2-1;BURE;200;2;
2661;ELE 137;2.1.A;2-1;BURE;60;1;
2662;ELE 138;2.1.A;2-1;BURE;100;3;
2663;ELE 139;2.1.A;2-1;BURE;100;3;
2664;ELE 140;2.1.A;2-1;BURE;100;1;
2665;ELE 141;2.1.A;2-1;BURE;100;2;
2680;ELE 227;2.2.A;2-2;BURE;400;6;
2681;ELE 229;2.1.A;2-1;BURE;200;4;
2682;ELE 230;2.1.A;2-1;BURE;100;1;
